Title,Year,Rating,Poster,Notes,ImdbID
Dirty Dancing,1987,7.1,https://m.media-amazon.com/images/M/MV5BYzNhNTNjODYtYjg2Ny00MzE5LWJmNDctY2E3N2E5MzQ3MmNmXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,,tt0092890
Shadows,1958,7.2,https://m.media-amazon.com/images/M/MV5BMmYzMzBmYTQtYmRkZC00MjdjLTg5MzctYjU1OWRjYjdlYmU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,,tt0053270
Shadows Of Memory,2018,0.0,N/A,,tt8559640
Strong Hearts in the Storm,1937,0.0,https://m.media-amazon.com/images/M/MV5BMzUwY2Q2Y2MtZjE0MC00Y2FiLWFhODQtZjhhNGUzY2I5OWNmXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,,tt0136548
Flucht ins Ungewisse,2008,0.0,N/A,,tt3322646
Herzen im Sturm,1951,4.0,N/A,,tt0043636
Zwischen Himmel und Hölle,2017,6.7,https://m.media-amazon.com/images/M/MV5BNGM3YzMwNjUtN2I2MS00ZjFiLTg1YjYtMjkwYzAyYmU5YmRlXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,,tt6129760
Der verborgene Schatz: Die legendäre Kunstsammlung des Iran,2017,0.0,https://m.media-amazon.com/images/M/MV5BYmYyOWU1YmQtMDZlMy00ODliLWFjMmMtMzc1ZDlhOWFhMTZmXkEyXkFqcGdeQXVyMjIwNjIxNjc@._V1_SX300.jpg,,tt12775116
Liebe auf den zweiten Blick,1964,9.2,N/A,,tt0457989
Der letzte Sommer,2000,7.7,https://m.media-amazon.com/images/M/MV5BZDcwOWNhYzktY2E2ZC00Y2RjLTgyM2MtYzczYmE3MTc1MThkXkEyXkFqcGdeQXVyMTUyMjEyMjMx._V1_SX300.jpg,,tt0367966
Anuk - Der Weg des Kriegers,2006,4.6,https://m.media-amazon.com/images/M/MV5BOTVjYTczNDItMjFmMS00ZDYwLWFkN2UtY2RjM2U5YzVmZTFmL2ltYWdlXkEyXkFqcGdeQXVyMTczMDQzNzc@._V1_SX300.jpg,,tt1066289
Das Geheimnis des Waldes,1917,0.0,N/A,,tt0357696
Im Angesicht des Todes,2017,0.0,N/A,,tt12393572
Der Adler vom Velsatal,1957,5.0,https://m.media-amazon.com/images/M/MV5BYTVhZTE4NWItOWNkYS00ZWRhLWJhYzUtMDVlOTZhODVhMWZjXkEyXkFqcGdeQXVyNjUzNzQ4NDQ@._V1_SX300.jpg,,tt0048926
